hamster,mouse
Pdzd9,Pdzd9
Ltbr,Ltbr
Ppp3cc,Ppp3cc
Osbpl9,Osbpl9
Nemp2,Nemp2
Cd7,Cd7
Armc2,Armc2
Zmynd15,Zmynd15
Phf21a,Phf21a
Pla2g6,Pla2g6
Mtmr7,Mtmr7
Sord,Sord
Znf703,Zfp703
LOC100751431,Or2ag16
Araf,Araf
Ankmy1,Ankmy1
Usp3,Usp3
Exoc6,Exoc6
Gprc5a,Gprc5a
Mapre1,Mapre1
Slc25a1,Slc25a1
Serpind1,Serpind1
Cdh18,Cdh18
Tinag,Tinag
Lcat,Lcat
Ptprz1,Ptprz1
Entpd5,Entpd5
Haus5,Haus5
Suclg1,Suclg1
Itm2b,Itm2b
Slc39a5,Slc39a5
Sri,Sri
Gpr83,Gpr83
Ssr4,Ssr4
Prss58,Prss58
Tpd52,Tpd52
Asic1,Asic1
Chaf1b,Chaf1b
Pcdh12,Pcdh12
Cwf19l1,Cwf19l1
Arpc5l,Arpc5l
Mamstr,Mamstr
LOC100751478,Or5ac16
Sirpa,Sirpa
Zscan25,Zscan25
Ascl3,Ascl3
Znf750,Zfp750
Lemd2,Lemd2
Taar5,Taar5
Acsl1,Acsl1
Rrp1b,Rrp1b
Tmem265,Tmem265
Emp3,Emp3
Rap1a,Rap1a
LOC100751499,Cox15
Kcnk2,Kcnk2
Pak2,Pak2
Ttyh2,Ttyh2
Pars2,Pars2
Thyn1,Thyn1
Plcd1,Plcd1
Il22ra2,Il22ra2
Evc2,Evc2
Rmi2,Rmi2
LOC100751513,Pramel15
Pdc,Pdc
Cnbd2,Cnbd2
Gpr173,Gpr173
Pik3r6,Pik3r6
Ccdc136,Ccdc136
Csad,Csad
Blvra,Blvra
Ndufs6,Ndufs6
Kiaa1191,4833439L19Rik
Acp6,Acp6
L3mbtl2,L3mbtl2
Snrpb,Snrpb
Dnajc1,Dnajc1
Ppef1,Ppef1
Snx11,Snx11
Wdr64,Wdr64
LOC100751546,Ibtk
LOC100751548,Or6n1
LOC100751550,Cyb561d2
Pde10a,Pde10a
Nhsl3,Nhsl3
Tp53inp2,Trp53inp2
Adgre1,Adgre1
Ccdc47,Ccdc47
Sf3a3,Sf3a3
Edc3,Edc3
Hcn2,Hcn2
Rrn3,Rrn3
Sh2d2a,Sh2d2a
Syn3,Syn3
Bmx,Bmx
Ryr3,Ryr3
LOC100751570,Or2t6
Tbc1d22b,Tbc1d22b
Rai2,Rai2
Mier1,Mier1
Cfap97d1,Cfap97d1
Fbxo10,Fbxo10
Id3,Id3
Pabpc4,Pabpc4
Tbp,Tbp
LOC100751580,Fmo3
Ggh,Ggh
Ccdc90b,Ccdc90b
LOC100751583,Glb1l2
LOC100751584,Cyp27a1
Ext2,Ext2
Oga,Oga
Zfyve19,Zfyve19
Snapc1,Snapc1
LOC100751590,Uqcc3
Grsf1,Grsf1
Slc30a1,Slc30a1
Arap2,Arap2
Grm1,Grm1
Mnx1,Mnx1
Eri2,Eri2
Pus7l,Pus7l
Ostf1,Ostf1
Gatb,Gatb
Mphosph6,Mphosph6
Amer1,Amer1
Catip,Catip
LOC100751616,Spata7
Il17rd,Il17rd
Lypd6,Lypd6
Cdnf,Cdnf
Crtc3,Crtc3
Klhl8,Klhl8
Mpzl3,Mpzl3
Anpep,Anpep
Ankk1,Ankk1
Myog,Myog
Ano8,Ano8
Igf1,Igf1
Cgrrf1,Cgrrf1
Cav2,Cav2
Malrd1,Malrd1
Tsr3,Tsr3
Fut8,Fut8
Zmym5,Zmym5
Nkx6-3,Nkx6-3
Mvk,Mvk
Mks1,Mks1
Gap43,Gap43
Bcam,Bcam
LOC100751660,Or8u10
Cradd,Cradd
Nav3,Nav3
Enc1,Enc1
Spg21,Spg21
Pycr2,Pycr2
Ndc80,Ndc80
Socs6,Socs6
Naga,Naga
Gyg1,Gyg1
LOC100751672,Ldhc
Eps8l2,Eps8l2
Kif22,Kif22
Sh3bp1,Sh3bp1
Noxa1,Noxa1
Lrch4,Lrch4
Fez1,Fez1
Hspb7,Hspb7
Lrrc9,Lrrc9
Plpp7,Plpp7
Gfral,Gfral
Lrig1,Lrig1
Ywhaq,Ywhaq
Specc1,Specc1
Mfsd6,Mfsd6
LOC100751701,Sectm1b
LOC100751707,Phox2b
Vps37a,Vps37a
Utp23,Utp23
Fzd3,Fzd3
Terb2,Terb2
Thap1,Thap1
Ddit4l,Ddit4l
Myof,Myof
Gprc5d,Gprc5d
LOC100751727,Dnmt3b
Ess2,Ess2
Reep2,Reep2
Tspyl1,Tspyl1
Ttll2,Ttll2
Psmb10,Psmb10
Dok5,Dok5
Tas2r16,Tas2r118
LOC100751743,Or5i1
Psmb8,Psmb8
Stx17,Stx17
Nabp2,Nabp2
Adam22,Adam22
Panx1,Panx1
Idh3g,Idh3g
LOC100751756,Prss59
Dcaf13,Dcaf13
Dop1b,Dop1b
Zbtb18,Zbtb18
Pcdh1,Pcdh1
LOC100751762,Cyp2c23
Scai,Scai
Rasip1,Rasip1
Dhx37,Dhx37
Tmem9b,Tmem9b
Fn3k,Fn3k
Tbl1xr1,Tbl1xr1
LOC100751774,Alpi
LOC100751776,Taar6
Gas6,Gas6
Slc25a4,Slc25a4
Hsf2bp,Hsf2bp
Srcap,Srcap
Pou5f2,Pou5f2
Inka2,Inka2
Cep19,Cep19
Dctd,Dctd
Cldn16,Cldn16
Sdk2,Sdk2
Ttc4,Ttc4
Vps26b,Vps26b
Spring1,Spring1
Osbpl10,Osbpl10
Il20ra,Il20ra
Stk32b,Stk32b
Aadacl3,Aadacl3
Odr4,Odr4
Epb41l1,Epb41l1
Tspyl2,Tspyl2
Mfsd6l,Mfsd6l
Tesk2,Tesk2
Igfbp6,Igfbp6
Ap4e1,Ap4e1
Mrpl36,Mrpl36
Meis1,Meis1
Thoc3,Thoc3
Atp2a2,Atp2a2
Gja5,Gja5
Ctss,Ctss
Adss1,Adss1
LOC100751826,Or2j3
Tgm6,Tgm6
Armc3,Armc3
Map3k15,Map3k15
Nfe2l1,Nfe2l1
Taf7l,Taf7l
Opn3,Opn3
Tent5a,Tent5a
Cacul1,Cacul1
LOC100751839,Or6k14
Nprl2,Nprl2
LOC100751841,Pabpc6
Zbtb8a,Zbtb8a
Ncoa6,Ncoa6
Ankrd13c,Ankrd13c
Crtc2,Crtc2
Ttc32,Ttc32
Inpp5b,Inpp5b
Arid3b,Arid3b
Palm,Palm
Fdx1,Fdx1
Mdga1,Mdga1
Pkib,Pkib
Dnai4,Dnai4
Mpp3,Mpp3
LOC100751862,Or1i2
Mycl,Mycl
Chd1,Chd1
Gorab,Gorab
Ttpa,Ttpa
Rab30,Rab30
Plcd4,Plcd4
Opa1,Opa1
Pprc1,Pprc1
Tmem30b,Tmem30b
Ints5,Ints5
Golga5,Golga5
LOC100751879,Or11g1
Reps2,Reps2
LOC100751881,Vmn1r233
Parl,Parl
Fbxw4,Fbxw4
Insyn2a,Insyn2a
Dthd1,Dthd1
Adgb,Adgb
Rexo5,Rexo5
Irak4,Irak4
Vsig1,Vsig1
LOC100751893,Rpl10l
LOC100751895,Or4k1
Hsd17b2,Hsd17b2
Spopl,Spopl
LOC100751899,Or52b2
Ctdsp1,Ctdsp1
Galc,Galc
Cd27,Cd27
Elf1,Elf1
Arhgef3,Arhgef3
Hspa14,Hspa14
Il1rn,Il1rn
Aff1,Aff1
Znf609,Zfp609
Lamtor3,Lamtor3
Disp3,Disp3
Mesp2,Mesp2
Drd2,Drd2
Tmem183a,Tmem183a
Met,Met
Pspc1,Pspc1
Nudt12,Nudt12
Gpat4,Gpat4
Mmab,Mmab
Lpo,Lpo
Ccl19,Ccl19
Emid1,Emid1
Ripk2,Ripk2
Nectin2,Nectin2
