hamster,mouse
Plod2,Plod2
Hsf1,Hsf1
Msh3,Msh3
Upb1,Upb1
Nme7,Nme7
Morc4,Morc4
Prkcg,Prkcg
Znf319,Zfp319
Pln,Pln
Ldlrap1,Ldlrap1
Dsc2,Dsc2
Ncoa2,Ncoa2
Dync2i2,Dync2i2
Htra1,Htra1
LOC100762963,Ugt2a1
Bicd1,Bicd1
Dpep1,Dpep1
Asic2,Asic2
Rnf144b,Rnf144b
Tulp3,Tulp3
Srbd1,Srbd1
Eif3b,Eif3b
Ajm1,Ajm1
Znf512,Zfp512
Prss12,Prss12
Zswim8,Zswim8
Serpinb10,Serpinb10
LOC100762985,Or5bw2
Tepsin,Tepsin
Prrg1,Prrg1
Lcn10,Lcn10
Chrna5,Chrna5
Nlrp6,Nlrp6
Txndc15,Txndc15
Paxx,Paxx
Lrrn1,Lrrn1
Hectd1,Hectd1
Wdr89,Wdr89
Spink7,Spink7
Eif3g,Eif3g
Micu2,Micu2
Znf397,Zfp397
Gtf2e1,Gtf2e1
Hoxa11,Hoxa11
Trim38,Trim38
Plppr3,Plppr3
Rnasel,Rnasel
LOC100763014,H2ac25
Slain1,Slain1
Sptbn1,Sptbn1
LOC100763017,Dmrta1
Mcee,Mcee
Mbnl3,Mbnl3
Atp5f1b,Atp5f1b
Bbs10,Bbs10
Parva,Parva
Kcnj15,Kcnj15
Sacm1l,Sacm1l
Adipoq,Adipoq
Itgb1,Itgb1
Csnk2b,Csnk2b
LOC100763037,Or7g33
Kdm2a,Kdm2a
Lrp5,Lrp5
Lyg2,Lyg2
Pus7,Pus7
Dll4,Dll4
Iqsec1,Iqsec1
Pbrm1,Pbrm1
Clstn2,Clstn2
Dop1a,Dop1a
Klhl41,Klhl41
Gpr85,Gpr85
Kctd17,Kctd17
Ntpcr,Ntpcr
Gatad1,Gatad1
Emilin1,Emilin1
Vamp3,Vamp3
Mybpc3,Mybpc3
Nsmce1,Nsmce1
Acad11,Acad11
Scube2,Scube2
Nrcam,Nrcam
Adam21,Adam21
Lamb3,Lamb3
Zfc3h1,Zfc3h1
Cd40lg,Cd40lg
Amt,Amt
Atp6v1c2,Atp6v1c2
Capn15,Capn15
Zdhhc21,Zdhhc21
Dennd1c,Dennd1c
Dnase2,Dnase2a
Slc30a6,Slc30a6
Sox30,Sox30
Rab7a,Rab7
Sipa1l3,Sipa1l3
Trpv6,Trpv6
Dnah8,Dnah8
Fzd2,Fzd2
Gck,Gck
Lancl2,Lancl2
Impa2,Impa2
Pcsk1n,Pcsk1n
Pld3,Pld3
Ren,Ren1
Ifit2,Ifit2
Asb4,Asb4
Liat1,Liat1
Tulp4,Tulp4
Baiap2l1,Baiap2l1
Vps4a,Vps4a
Cfap20,Cfap20
Cst11,Cst11
Il21r,Il21r
Ranbp6,Ranbp6
Chadl,Chadl
Tmprss11f,Tmprss11f
Ero1a,Ero1a
LOC100763140,Ces2e
Chm,Chm
LOC100763142,Or5an1
LOC100763143,Or52ab4
Sidt2,Sidt2
LOC100763145,Or4c3
Egf,Egf
Hmgcll1,Hmgcll1
Ociad2,Ociad2
Spin1,Spin1
Fes,Fes
Acadm,Acadm
Senp3,Senp3
Cc2d2b,Cc2d2b
Ythdf2,Ythdf2
LOC100763175,Uqcrq
LOC100763177,Or51r1
Lmod1,Lmod1
Tm6sf2,Tm6sf2
Meikin,Meikin
Ecrg4,Ecrg4
Npepps,Npepps
Sar1a,Sar1a
Sdcbp2,Sdcbp2
Jrkl,Jrkl
Etfdh,Etfdh
Atp1a4,Atp1a4
Adamts18,Adamts18
Mdh2,Mdh2
Itprid2,Itprid2
Rpap2,Rpap2
Prdm15,Prdm15
Slc22a1,Slc22a1
Tpd52l2,Tpd52l2
Ppp2r2b,Ppp2r2b
Eif2ak4,Eif2ak4
Arl2bp,Arl2bp
LOC100763208,Themis3
Edar,Edar
G6pc1,G6pc1
LOC100763216,Or5w14
Exosc7,Exosc7
Magi3,Magi3
Ier3,Ier3
Secisbp2l,Secisbp2l
Csf1r,Csf1r
Tbxa2r,Tbxa2r
Ttc9,Ttc9
Rgs22,Rgs22
Plscr4,Plscr4
Gli1,Gli1
Slc19a2,Slc19a2
Ctcf,Ctcf
Pnpla1,Pnpla1
Fgf5,Fgf5
Gdf3,Gdf3
Selenon,Selenon
Sh2b1,Sh2b1
Vcpip1,Vcpip1
Prdx4,Prdx4
Atf3,Atf3
Sptan1,Sptan1
Znf212,Zfp212
Cpne7,Cpne7
LOC100763258,Or52r1c
LOC100763261,Ccl7
Tead4,Tead4
Psmg3,Psmg3
Edf1,Edf1
Camk2g,Camk2g
Mfn2,Mfn2
Slc38a10,Slc38a10
Fkbp1b,Fkbp1b
Lcn8,Lcn8
Chrna3,Chrna3
Ddx46,Ddx46
Mapkapk5,Mapkapk5
Ap4s1,Ap4s1
Esr2,Esr2
Atp8b1,Atp8b1
Col5a3,Col5a3
Zdhhc20,Zdhhc20
Nup58,Gm49336
Stxbp5l,Stxbp5l
Evx1,Evx1
Cfd,Cfd
Obscn,Obscn
Scel,Scel
Nme6,Nme6
LOC100763308,Prl7c1
Tmtc1,Tmtc1
Apba2,Apba2
Hs6st2,Hs6st2
Baz2a,Baz2a
Nap1l1,Nap1l1
Slc17a8,Slc17a8
Ccr9,Ccr9
Dok6,Dok6
Crebzf,Crebzf
Eif4a2,Eif4a2
Nrp1,Nrp1
Gpank1,Gpank1
Aldh3b2,Aldh3b2
Prkd2,Prkd2
Mrpl30,Mrpl30
Wdr54,Wdr54
Septin3,Septin3
Rb1cc1,Rb1cc1
Fbln2,Fbln2
Ids,Ids
Usp9x,Usp9x
Fastkd1,Fastkd1
LOC100763354,Or2at4
Sipa1l2,Sipa1l2
Khk,Khk
Spi1,Spi1
Tmem237,Tmem237
Dnajc13,Dnajc13
Pnpla8,Pnpla8
Synj2bp,Synj2bp
Camk1g,Camk1g
Ecm1,Ecm1
Il12rb1,Il12rb1
Smox,Smox
Lgr5,Lgr5
Brs3,Brs3
Agpat3,Agpat3
Mgarp,Mgarp
Asic3,Asic3
Tubb4a,Tubb4a
Rbfa,Rbfa
Klf1,Klf1
Dpy30,Dpy30
Thg1l,Thg1l
Hmces,Hmces
Ppp1r14a,Ppp1r14a
LOC100763399,Or9a2
Glp1r,Glp1r
Meioc,Meioc
Ykt6,Ykt6
Cidea,Cidea
Hipk4,Hipk4
Pwp1,Pwp1
Sox13,Sox13
LOC100763411,Or5al7
Adtrp,Adtrp
Pdk4,Pdk4
Rflnb,Rflnb
Hoxc5,Hoxc5
Mtr,Mtr
Zbtb33,Zbtb33
Cald1,Cald1
Anxa7,Anxa7
Csnk2a2,Csnk2a2
Napb,Napb
Gsg1l,Gsg1l
Brd10,Brd10
Gpr137c,Gpr137c
Gramd4,Gramd4
LOC100763435,Or52ad1
Dscaml1,Dscaml1
LOC100763438,Elovl6
Bmp5,Bmp5
Ociad1,Ociad1
Gc,Gc
Fgfr2,Fgfr2
Ccnj,Ccnj
Plcxd2,Plcxd2
Rab42,Rab42
Leap2,Leap2
Mau2,Mau2
Fnip1,Fnip1
Uxs1,Uxs1
Gpr179,Gpr179
Aifm2,Aifm2
Fkbp1a,Fkbp1a
Rnf113a,Rnf113a1
Atp1a2,Atp1a2
Vat1l,Vat1l
Usp32,Usp32
Hspb1,Hspb1
Neurod1,Neurod1
LOC100763486,Ube2d2b
Ripk4,Ripk4
Mex3a,Mex3a
Coq3,Coq3
Lhx9,Lhx9
Phf3,Phf3
LOC100763502,Or8w1
Flot1,Flot1
Shc4,Shc4
Apba3,Apba3
Pbdc1,Pbdc1
Klhl7,Klhl7
Ddit3,Ddit3
Selp,Selp
Mapk13,Mapk13
Kcnc1,Kcnc1
Cacng6,Cacng6
Kifc3,Kifc3
Aunip,Aunip
Mybl1,Mybl1
Rint1,Rint1
Garin4,Garin4
Klf4,Klf4
Rmi1,Rmi1
Qars1,Qars1
Ghr,Ghr
LOC100763541,Hccs
Rela,Rela
Ubqln3,Ubqln3
Ecel1,Ecel1
Ube3d,Ube3d
LOC100763547,Ccl11
Cylc2,Cylc2
Cracr2a,Cracr2a
Prkce,Prkce
Tmem184a,Tmem184a
C8g,C8g
Gckr,Gckr
Dusp29,Dusp29
Miip,Miip
Atad2b,Atad2b
Lcn6,Lcn6
Chrnb4,Chrnb4
Eapp,Eapp
Dok3,Dok3
Scfd1,Scfd1
Fbxo38,Fbxo38
Noxred1,Noxred1
Il17d,Il17d
Atp8a2,Atp8a2
Znf24,Zfp24
Ttc39b,Ttc39b
Jazf1,Jazf1
Med16,Med16
Iba57,Iba57
Mycbp2,Mycbp2
Map4,Map4
LOC100763591,Prl4a1
Ergic2,Ergic2
Usp26,Usp26
Rbms2,Rbms2
Rassf10,Rassf10
Kcnj6,Kcnj6
Nr1h4,Nr1h4
Scx,Scx
Apom,Apom
Patz1,Patz1
Yif1a,Yif1a
Acy3,Acy3
LOC100763614,Grm5
Strn4,Strn4
Mitd1,Mitd1
Mei1,Mei1
LOC100763623,Slc4a4
Nt5dc2,Nt5dc2
Efl1,Efl1
Muc20,Muc20
Ppig,Ppig
Slco2b1,Slco2b1
Tmem106b,Tmem106b
Mtif3,Mtif3
Rbm48,Rbm48
Olfm3,Olfm3
Ptpmt1,Ptpmt1
Als2,Als2
Acp3,Acp3
Ina,Ina
LOC100763647,Or2ag18
Dnajb9,Dnajb9
Oip5,Oip5
Bcat1,Bcat1
Desi2,Desi2
Map7d1,Map7d1
Naa15,Naa15
Abcb8,Abcb8
Tnfsf14,Tnfsf14
Hsbp1l1,Hsbp1l1
Farsa,Farsa
Lsm11,Lsm11
Dnajc5,Dnajc5
Gpr176,Gpr176
Copg1,Copg1
Spint2,Spint2
Ptcd3,Ptcd3
Igfbp1,Igfbp1
Umodl1,Umodl1
Nudcd3,Nudcd3
Ppm1k,Ppm1k
Afg3l2,Afg3l2
Hdac6,Hdac6
Prx,Prx
LOC100763692,Or5al1
Pak1ip1,Pak1ip1
Sgce,Sgce
Tlcd3a,Tlcd3a
Hoxc6,Hoxc6
Rpl7,Rpl7
Trap1,Trap1
Gzf1,Gzf1
Gtf3c1,Gtf3c1
Ttr,Ttr
Fam107a,Fam107a
Xpnpep3,Xpnpep3
Srsf9,Srsf9
Atp2a1,Atp2a1
Cerk,Cerk
Scg3,Scg3
Spg7,Spg7
Poglut2,Poglut2
Setx,Setx
Proca1,Proca1
Gfra2,Gfra2
Lhx8,Lhx8
Samhd1,Samhd1
Slc16a13,Slc16a13
Cdyl,Cdyl
Ube2h,Ube2h
Opalin,Opalin
Phldb2,Phldb2
Xkr8,Xkr8
Mrpl13,Mrpl13
Nav1,Nav1
Ide,Ide
Sugp1,Sugp1
Rapgef6,Rapgef6
St6gal2,St6gal2
Socs7,Socs7
Nsfl1c,Nsfl1c
Endod1,Endod1
Tmem144,Tmem144
Ubqln4,Ubqln4
Nrg3,Nrg3
Slc22a3,Slc22a3
Tcerg1,Tcerg1
Pnisr,Pnisr
Eml6,Eml6
Nsd2,Nsd2
Sap30,Sap30
Otud7a,Otud7a
Nrm,Nrm
Mrpl54,Mrpl54
Stk3,Stk3
Plscr1,Plscr1
Nup42,Nup42
Kif5a,Kif5a
Ggt1,Ggt1
Sell,Sell
Pard6a,Pard6a
Prdm8,Prdm8
Otog,Otog
Cep85l,Cep85l
Vxn,Vxn
Tas1r2,Tas1r2
Nenf,Nenf
LOC100763816,Or1r1
Rad23b,Rad23b
LOC100763819,Zfp956
Jkamp,Jkamp
Arhgap6,Arhgap6
Kcnk7,Kcnk7
LOC100763828,Or51p1
Chrnd,Chrnd
LOC100763833,Ccl2
LOC100763834,Toporsl
Barx1,Barx1
Fgf23,Fgf23
Mafk,Mafk
Lcn12,Lcn12
Samd8,Samd8
Plod1,Plod1
LOC100763846,Or8s8
Abhd1,Abhd1
Dbn1,Dbn1
Brap,Brap
G2e3,G2e3
Mthfd1,Mthfd1
Htr4,Htr4
Samd15,Samd15
Olfm2,Olfm2
Cryl1,Cryl1
Cdadc1,Cdadc1
Galnt1,Galnt1
Ctnna3,Ctnna3
Psip1,Psip1
R3hdm4,R3hdm4
Cln5,Cln5
Dhx30,Dhx30
LOC100763880,Prl5a1
Fggy,Fggy
Spryd4,Spryd4
Mical2,Mical2
Vps26c,Vps26c
Bop1,Bop1
Elk1,Elk1
Bag6,Bag6
Nop53,Nop53
Pik3ip1,Pik3ip1
Rab1b,Rab1b
Tbx10,Tbx10
Mbp,Mbp
Slc1a5,Slc1a5
Lipt1,Lipt1
Shisa8,Shisa8
Hapln3,Hapln3
Scg2,Scg2
Stab1,Stab1
Saxo2,Saxo2
Fyttd1,Fyttd1
Syt9,Syt9
Tmprss12,Tmprss12
Thsd7a,Thsd7a
Mpst,Mpst
Gtf3a,Gtf3a
Atg101,Atg101
Ptch1,Ptch1
Cdk15,Cdk15
Htr3a,Htr3a
Cpne4,Cpne4
LOC100763934,Or2ag2b
Chp1,Chp1
Vps37c,Vps37c
Pctp,Pctp
Smoc1,Smoc1
Plxna2,Plxna2
Adamtsl4,Adamtsl4
Sox5,Sox5
Tph2,Tph2
Dip2a,Dip2a
Rab33b,Rab33b
LOC100763954,Aoc1l1
C3,C3
Kcng2,Kcng2
Gadd45gip1,Gadd45gip1
Nr3c1,Nr3c1
Ebf1,Ebf1
Uckl1,Uckl1
Hs3st5,Hs3st5
LOC100763967,Rps11
Tff3,Tff3
Atp6v1g3,Atp6v1g3
Npc1l1,Npc1l1
Prelid3a,Prelid3a
Gata1,Gata1
Sertad1,Sertad1
Zc3h11a,Zc3h11a
LOC100763980,Or8u8
Tmem170b,Tmem170b
LOC100763983,Dbil5
Hoxc9,Hoxc9
Heatr1,Heatr1
Trrap,Trrap
Rfc4,Rfc4
Stra8,Stra8
Katnb1,Katnb1
Nxt1,Nxt1
St13,St13
LOC100764001,Cox6a1
Tbc1d22a,Tbc1d22a
LOC100764003,Or4d11
LOC100764006,Or4b1
Tmod2,Tmod2
Ankrd11,Ankrd11
Tceanc2,Tceanc2
Man2a2,Man2a2
Dok2,Dok2
LOC100764018,Cox10
Mroh8,Mroh8
Zbtb4,Zbtb4
Ppp1r3g,Ppp1r3g
Klhdc10,Klhdc10
Tm9sf3,Tm9sf3
Tagln3,Tagln3
Rpa2,Rpa2
Kif20b,Kif20b
Hapln4,Hapln4
Meis2,Meis2
Srcin1,Srcin1
Nkrf,Nkrf
Sesn3,Sesn3
Gask1b,Gask1b
Appbp2,Appbp2
Ap1g2,Ap1g2
Tmprss2,Tmprss2
Rxfp4,Rxfp4
Map3k4,Map3k4
Rbm27,Rbm27
Ccl17,Ccl17
Lingo2,Lingo2
Atp2b1,Atp2b1
Ppp1r18,Ppp1r18
Gabra5,Gabra5
Matk,Matk
Csrp2,Csrp2
Crispld1,Crispld1
LOC100764080,Ifi27
Wtip,Wtip
Gas2l3,Gas2l3
Malsu1,Malsu1
Pip4k2c,Pip4k2c
Ggt5,Ggt5
Enkd1,Enkd1
Slc26a8,Slc26a8
Tbr1,Tbr1
Ush1c,Ush1c
Tarm1,Tarm1
Crisp2,Crisp2
Adhfe1,Adhfe1
LOC100764102,Emc1
Pacc1,Pacc1
LOC100764104,Or3a4
Ubqln1,Ubqln1
Ndufaf3,Ndufaf3
Ube2k,Ube2k
Gpr135,Gpr135
Wnt16,Wnt16
LOC100764117,Or52s1b
Dct,Dct
Chrng,Chrng
LOC100764121,Zic1
LOC100764122,Ccl12
Phf2,Phf2
Ints1,Ints1
Ddb1,Ddb1
Klhl4,Klhl4
Preb,Preb
Rad9b,Rad9b
Rhov,Rhov
Zbtb25,Zbtb25
Fech,Fech
Mmgt1,Mmgt1
Slc39a6,Slc39a6
Polq,Polq
Creb5,Creb5
Tdp2,Tdp2
Arid3a,Arid3a
Wnt3a,Wnt3a
Acod1,Acod1
LOC100764168,Or2t26
Elp6,Elp6
Oxa1l,Oxa1l
Mip,Mip
Erg,Erg
Rragb,Rragb
Uxt,Uxt
Eed,Eed
Aif1,Aif1
Dnase1,Dnase1
LOC100764187,Ehd2
LOC100764188,Or7g16
Morc2,Morc2a
Klc2,Klc2
Sgcd,Sgcd
Nudt8,Nudt8
Ap2s1,Ap2s1
Nfatc2ip,Nfatc2ip
Scn8a,Scn8a
Acan,Acan
Ap1s3,Ap1s3
Rbm17,Rbm17
Tlcd5,Tlcd5
Tnnc1,Tnnc1
Lrch3,Lrch3
Slc25a36,Slc25a36
Usp12,Usp12
Sprtn,Sprtn
Nr4a1,Nr4a1
LOC100764220,Or2l5
Nop58,Nop58
Pcgf6,Pcgf6
LOC100764228,Or2ag17
Nova1,Nova1
Exd1,Exd1
Cd5,Cd5
Ankfn1,Ankfn1
LOC100764233,Or4g7
Mcl1,Mcl1
LOC100764242,Macroh2a2
Kif26b,Kif26b
Kcnj9,Kcnj9
Pcnt,Pcnt
Sh3d21,Sh3d21
Mgst2,Mgst2
Tmem176a,Tmem176a
Cass4,Cass4
Unkl,Unkl
Gpr108,Gpr108
Ctdp1,Ctdp1
Dand5,Dand5
Fgf1,Fgf1
Znf512b,Zfp512b
Rtn4,Rtn4
Letm1,Letm1
Glo1,Glo1
Ddx56,Ddx56
Lsm5,Lsm5
Nnt,Nnt
Sertad3,Sertad3
Zbed6,Zbed6
LOC100764277,Or8j3
Elovl2,Elovl2
Nxn,Nxn
Hoxc10,Hoxc10
Lgals8,Lgals8
Kcnb2,Kcnb2
Wdr91,Wdr91
Ppp4r4,Ppp4r4
Sulf1,Sulf1
Drc7,Drc7
Tmprss11b,Tmprss11b
Msi1,Msi1
Rpp25,Rpp25
Socs5,Socs5
LOC100764300,Or51l14
Tmod3,Tmod3
Cdh15,Cdh15
Ddx3x,Ddx3x
LOC100764308,Or2b4
Tmem59,Tmem59
Pum3,Pum3
Npm2,Npm2
Smc1b,Smc1b
Ctu1,Ctu1
Grin2a,Grin2a
Rin2,Rin2
Fscn2,Fscn2
Ctnnbl1,Ctnnbl1
Bacc1,0610010K14Rik
Lyrm4,Lyrm4
Klf14,Klf14
Pik3ap1,Pik3ap1
Tmprss7,Tmprss7
Themis2,Themis2
Phlda3,Phlda3
Heatr5a,Heatr5a
Hint1,Hint1
Wdr44,Wdr44
Gria2,Gria2
Cab39l,Cab39l
Thtpa,Thtpa
Mdh1,Mdh1
Fam3b,Fam3b
Khdc4,Khdc4
Prkn,Prkn
Lars1,Lars1
Rap1gap,Rap1gap
Ccnc,Ccnc
C9orf72,C9orf72
Prss48,Prss48
Dusp6,Dusp6
LOC100764366,Svs6
Lgsn,Lgsn
Cnot6,Cnot6
Dym,Dym
Gabrg3,Gabrg3
Pdgfrb,Pdgfrb
Pias4,Pias4
Zdhhc17,Zdhhc17
F11r,F11r
Ddx24,Ddx24
Uba2,Uba2
Pcmtd1,Pcmtd1
Igf2bp3,Igf2bp3
Dtx3,Dtx3
Susd2,Susd2
Megf9,Megf9
Srpk1,Srpk1
Psmd14,Psmd14
Pappa,Pappa
Abcc8,Abcc8
Znf516,Zfp516
Rhag,Rhag
Ubr4,Ubr4
Ppp2r5a,Ppp2r5a
LOC100764405,Or10q1
Kif27,Kif27
Mocs1,Mocs1
Dalrd3,Dalrd3
Sult1b1,Sult1b1
Fam3c,Fam3c
Tmem43,Tmem43
LOC100764419,Or52h2
Prss56,Prss56
Cct6b,Cct6b
Cd9,Cd9
Pkdcc,Pkdcc
Nsdhl,Nsdhl
LOC100764433,Cyb561a3
Lrmda,Lrmda
LOC100764437,Or5bs2
Htr3b,Htr3b
Ccnt2,Ccnt2
Isl2,Isl2
Mxd3,Mxd3
LOC100764446,Apol8
LOC100764447,Or10d3
Gpn3,Gpn3
Itpr1,Itpr1
Ctns,Ctns
Zbtb1,Zbtb1
St8sia3,St8sia3
Gstz1,Gstz1
Fbxl12,Fbxl12
Znf449,Zfp449
Elp2,Elp2
LOC100764460,Cyct
Tril,Tril
Aldh5a1,Aldh5a1
Rasgrp3,Rasgrp3
Abca7,Abca7
Colgalt2,Colgalt2
Wnt9a,Wnt9a
LOC100764469,Or2o1
Ptpn23,Ptpn23
Hgf,Hgf
LOC100764473,Or2w4
Mrpl52,Mrpl52
Timeless,Timeless
Cdx4,Cdx4
Heatr5b,Heatr5b
Dyrk1a,Dyrk1a
Foxr2,Foxr2
Me3,Me3
Ltb,Ltb
Cluap1,Cluap1
Bicra,Bicra
LOC100764488,Or7g27
Drg1,Drg1
Sf3b2,Sf3b2
Eipr1,Eipr1
Lat,Lat
Wbp2nl,Wbp2nl
Pou2f3,Pou2f3
Sema3g,Sema3g
Iqcg,Iqcg
Spsb4,Spsb4
Slc11a2,Slc11a2
LOC100764510,Ms4a6d
Gpr12,Gpr12
Tamalin,Tamalin
Cdk6,Cdk6
LOC100764517,Lox
Mtch2,Mtch2
Bmpr2,Bmpr2
Cwh43,Cwh43
LOC100764524,Or13n4
Duox2,Duox2
Rcor3,Rcor3
Ensa,Ensa
Ptprr,Ptprr
Fam241b,Fam241b
Nanp,Nanp
Kcnj10,Kcnj10
Klhdc8b,Klhdc8b
Slc7a11,Slc7a11
Tmem176b,Tmem176b
Fam210b,Fam210b
Ccdc154,Ccdc154
LOC100764551,Mff
Nfix,Nfix
Spry4,Spry4
Samd10,Samd10
Mysm1,Mysm1
Hdac2,Hdac2
Fgfr3,Fgfr3
Adcy1,Adcy1
Tff2,Tff2
Adam11,Adam11
Aspm,Aspm
Tmed4,Tmed4
Paip1,Paip1
Suv39h1,Suv39h1
Snrpa,Snrpa
Magt1,Magt1
Lax1,Lax1
LOC100764574,Or8k1
Ero1b,Ero1b
Terf1,Terf1
Hrg,Hrg
Agbl3,Agbl3
Serpina10,Serpina10
Adgrg3,Adgrg3
Atad1,Atad1
LOC100764592,Tmprss11e
Mpi,Mpi
Cript,Cript
Odf2,Odf2
LOC100764599,Or52ae7
LOC100764600,Gykl1
Kcnd3,Kcnd3
Mapk6,Mapk6
Acsf3,Acsf3
Gpr34,Gpr34
Lrrc42,Lrrc42
Fgf17,Fgf17
Klk14,Klk14
Rasl11b,Rasl11b
Spem1,Spem1
Alox12,Alox12
Rbm15,Rbm15
Hspa4,Hspa4
Lmntd1,Lmntd1
Lad1,Lad1
Rnf24,Rnf24
LOC100764637,Eif1
Gpx3,Gpx3
Epop,Epop
Klhl13,Klhl13
Arl11,Arl11
Zkscan7,Zkscan7
Tbx2,Tbx2
Zp3,Zp3
Hcls1,Hcls1
Cer1,Cer1
Zfhx2,Zfhx2
Mtf2,Mtf2
Esco1,Esco1
Grxcr2,Grxcr2
Dclk2,Dclk2
LOC100764663,Sys1
Gas2,Gas2
Mbd1,Mbd1
Atat1,Atat1
Thop1,Thop1
Tstd1,Tstd1
Otub2,Otub2
Pdcd2l,Pdcd2l
St18,St18
Tra2a,Tra2a
B4galnt1,B4galnt1
Cdk5rap2,Cdk5rap2
Gfod2,Gfod2
Lhfpl5,Lhfpl5
Kcnj11,Kcnj11
Dnpep,Dnpep
Glyatl3,Glyatl3
Ttc7a,Ttc7
LOC100764701,Or1s2
Qng1,Qng1
Daam2,Daam2
Arih2,Arih2
Pds5a,Pds5a
Phka1,Phka1
L3hypdh,L3hypdh
Galp,Galp
Xpc,Xpc
Echdc1,Echdc1
Eif4e2,Eif4e2
Znf830,Zfp830
LOC100764719,Or13c3
Hddc3,Hddc3
Phospho2,Phospho2
Wnk2,Wnk2
Eml4,Eml4
Eif2ak1,Eif2ak1
Htt,Htt
Tmem138,Tmem138
Kcnma1,Kcnma1
Exoc8,Exoc8
Inpp5d,Inpp5d
Tcf23,Tcf23
Map3k19,Map3k19
Scaper,Scaper
Ube2v2,Ube2v2
Prelid1,Prelid1
Slc12a7,Slc12a7
Arpc3,Arpc3
Gzmm,Gzmm
Hspa2,Hspa2
Nars1,Nars1
Pomt2,Pomt2
Rbm45,Rbm45
Hoxa6,Hoxa6
Il12b,Il12b
Ltbp1,Ltbp1
Arhgap45,Arhgap45
Slc7a14,Slc7a14
Gnat3,Gnat3
LOC100764768,Cyp2j6
Cacna2d1,Cacna2d1
Rem2,Rem2
Stat2,Stat2
Pafah1b1,Pafah1b1
Mageh1,Mageh1
Tnf,Tnf
Cmc2,Cmc2
Znf541,Zfp541
LOC100764784,Or7g25
Cst6,Cst6
Trappc12,Trappc12
Cd93,Cd93
Ptprcap,Ptprcap
Sbk1,Sbk1
Ino80b,Ino80b
Il2ra,Il2ra
Phf7,Phf7
Heg1,Heg1
Rapgef1,Rapgef1
Pde6g,Pde6g
Acvr1b,Acvr1b
LOC100764814,Cldn34d
Fnbp4,Fnbp4
Ica1l,Ica1l
LOC100764819,Krt76
Umod,Umod
Nog,Nog
Galnt16,Galnt16
Kcnh1,Kcnh1
Golph3l,Golph3l
Sqle,Sqle
Ptprb,Ptprb
Neurog3,Neurog3
Ninl,Ninl
Smyd3,Smyd3
Glrb,Glrb
Pigm,Pigm
Parp3,Parp3
Col18a1,Col18a1
Gjb5,Gjb5
LOC100764847,Gimap1
Cramp1,Cramp1
Nfatc1,Nfatc1
Cdh7,Cdh7
Hrh3,Hrh3
Tek,Tek
Psmd8,Psmd8
Igfbp3,Igfbp3
Tff1,Tff1
Higd1b,Higd1b
Zbtb41,Zbtb41
Ogdh,Ogdh
Atp2b4,Atp2b4
Zfhx4,Zfhx4
LOC100764870,Or5ak24
Inpp5k,Inpp5k
LOC100764874,Atf7
Gpr137b,Gpr137b
Cabin1,Cabin1
Fetub,Fetub
Kcnh7,Kcnh7
Adgrg1,Adgrg1
Slc5a7,Slc5a7
Papss2,Papss2
Ythdc1,Ythdc1
Lmbr1l,Lmbr1l
Pigf,Pigf
LOC100764894,Or51af1
Acvrl1,Acvrl1
Dhx15,Dhx15
Gnb5,Gnb5
Cbfa2t3,Cbfa2t3
Cask,Cask
LOC100764903,Or2h15
Ift25,Ift25
Dmtn,Dmtn
Carhsp1,Carhsp1
Slc24a3,Slc24a3
Polr3e,Polr3e
Alox15,Alox12e
Kcna4,Kcna4
Slc16a4,Slc16a4
LOC100764921,Cd200
Zcchc17,Zcchc17
Fstl4,Fstl4
Spp2,Spp2
Pkp1,Pkp1
Homer3,Homer3
Tnip1,Tnip1
Mllt6,Mllt6
Epb41l4b,Epb41l4b
Dtx2,Dtx2
Golgb1,Golgb1
Greb1,Greb1
Frem1,Frem1
Trip10,Trip10
Ngdn,Ngdn
Otx1,Otx1
LOC100764948,Mrgprx1
Tmed5,Tmed5
Bace2,Bace2
Tfap2a,Tfap2a
Gpr18,Gpr18
Prelid2,Prelid2
Rab43,Rab43
Fbxl4,Fbxl4
LOC100764963,Or10ag57
Mapk9,Mapk9
Prex2,Prex2
Slc6a7,Slc6a7
Sgta,Sgta
Osbpl8,Osbpl8
Pi15,Pi15
Usf1,Usf1
Asb2,Asb2
Garre1,Garre1
Agap2,Agap2
Tulp1,Tulp1
Ppp3cb,Ppp3cb
Ndufa3,Ndufa3
Des,Des
Aldh4a1,Aldh4a1
Mcfd2,Mcfd2
LOC100764997,Or9q2
Scnn1g,Scnn1g
Slc25a20,Slc25a20
Smim14,Smim14
Daam1,Daam1
LOC100765005,Zfp583
Arhgef12,Arhgef12
Efhd1,Efhd1
Lig3,Lig3
Unc45a,Unc45a
Klhl23,Klhl23
Jarid2,Jarid2
Tnfrsf1a,Tnfrsf1a
Kcng3,Kcng3
LOC100765019,Mchr1
Usp42,Usp42
Msantd1,Msantd1
LOC100765022,Pga5
Gnpat,Gnpat
Slc5a6,Slc5a6
Rab3gap1,Rab3gap1
Carnmt1,Carnmt1
Pstpip1,Pstpip1
Rab24,Rab24
Anapc7,Anapc7
Ppp1r36,Ppp1r36
Ngb,Ngb
LOC100765042,Zfp846
Osbpl6,Osbpl6
Trmt1,Trmt1
C1qtnf2,C1qtnf2
Lamc2,Lamc2
Jmjd4,Jmjd4
Cldn11,Cldn11
